7.9092 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002F8A1ABB780>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002F8A1C4DE10>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.7985 	EXP 	Created eight = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='eight', opacity=1.0, ori=0.0, pos=array([-0.45, -0.3 ]), size=array([0.22, 0.22]), texRes=128, units='height', win=Window(...))
8.8228 	EXP 	Created nine = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='nine', opacity=1.0, ori=0.0, pos=array([-0.2, -0.3]), size=array([0.22, 0.22]), texRes=128, units='height', win=Window(...))
8.8468 	EXP 	Created four = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-7.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='four', opacity=1.0, ori=0.0, pos=array([0.2, 0.3]), size=array([0.22, 0.22]), texRes=128, units='height', win=Window(...))
8.8696 	EXP 	Created five = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-8.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='five', opacity=1.0, ori=0.0, pos=array([0.45, 0.3 ]), size=array([0.22, 0.22]), texRes=128, units='height', win=Window(...))
8.8913 	EXP 	Created six = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-9.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='six', opacity=1.0, ori=0.0, pos=array([0.7, 0.3]), size=array([0.22, 0.22]), texRes=128, units='height', win=Window(...))
8.9129 	EXP 	Created ten = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='ten', opacity=1.0, ori=0.0, pos=array([ 0.2, -0.3]), size=array([0.22, 0.22]), texRes=128, units='height', win=Window(...))
8.9344 	EXP 	Created eleven = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-11.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='eleven', opacity=1.0, ori=0.0, pos=array([ 0.45, -0.3 ]), size=array([0.22, 0.22]), texRes=128, units='height', win=Window(...))
8.9562 	EXP 	Created twelve = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-12.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='twelve', opacity=1.0, ori=0.0, pos=array([ 0.7, -0.3]), size=array([0.22, 0.22]), texRes=128, units='height', win=Window(...))
8.9666 	EXP 	Created continue_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.001, italic=False, languageStyle='LTR', name='continue_text', opacity=0.0, ori=0, pos=array([1.5, 1.5]), rgb=array([255., 255., 255.]), text='Continue', units='height', win=Window(...), wrapWidth=1)
9.0094 	EXP 	Created gram01 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-14.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='gram01', opacity=1.0, ori=0.0, pos=array([-0.7,  0.3]), size=array([0.22, 0.22]), texRes=128, units='height', win=Window(...))
9.0387 	EXP 	Created gram02 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-15.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='gram02', opacity=1.0, ori=0.0, pos=array([-0.45,  0.3 ]), size=array([0.22, 0.22]), texRes=128, units='height', win=Window(...))
9.0627 	EXP 	Created gram03 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-16.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='gram03', opacity=1.0, ori=0.0, pos=array([-0.2,  0.3]), size=array([0.22, 0.22]), texRes=128, units='height', win=Window(...))
9.0945 	EXP 	Created gram04 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-17.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='gram04', opacity=1.0, ori=0.0, pos=array([0.2, 0.3]), size=array([0.22, 0.22]), texRes=128, units='height', win=Window(...))
9.1146 	EXP 	Created gram05 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-18.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='gram05', opacity=1.0, ori=0.0, pos=array([0.45, 0.3 ]), size=array([0.22, 0.22]), texRes=128, units='height', win=Window(...))
9.1490 	EXP 	Created gram06 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-19.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='gram06', opacity=1.0, ori=0.0, pos=array([0.7, 0.3]), size=array([0.22, 0.22]), texRes=128, units='height', win=Window(...))
9.1715 	EXP 	Created gram07 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-20.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='gram07', opacity=1.0, ori=0.0, pos=array([-0.7, -0.3]), size=array([0.22, 0.22]), texRes=128, units='height', win=Window(...))
9.2305 	EXP 	Created gram08 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-21.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='gram08', opacity=1.0, ori=0.0, pos=array([-0.45, -0.3 ]), size=array([0.22, 0.22]), texRes=128, units='height', win=Window(...))
9.2489 	EXP 	Created gram09 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-22.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='gram09', opacity=1.0, ori=0.0, pos=array([-0.2, -0.3]), size=array([0.22, 0.22]), texRes=128, units='height', win=Window(...))
9.3404 	EXP 	Created gram10 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-23.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='gram10', opacity=1.0, ori=0.0, pos=array([ 0.2, -0.3]), size=array([0.22, 0.22]), texRes=128, units='height', win=Window(...))
9.4023 	EXP 	Created gram11 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-24.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='gram11', opacity=1.0, ori=0.0, pos=array([ 0.45, -0.3 ]), size=array([0.22, 0.22]), texRes=128, units='height', win=Window(...))
9.4554 	EXP 	Created gram12 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-25.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='gram12', opacity=1.0, ori=0.0, pos=array([ 0.7, -0.3]), size=array([0.22, 0.22]), texRes=128, units='height', win=Window(...))
9.4628 	EXP 	Created easy_succ = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-26.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='easy_succ', opacity=1.0, ori=0, pos=array([-0.3,  0. ]), rgb=array([255., 255., 255.]), text='Move On', units='height', win=Window(...), wrapWidth=1)
9.4941 	EXP 	instruction_text: autoDraw = True
9.4941 	EXP 	text_2: autoDraw = True
10.4323 	DATA 	Mouse: Left button down, pos=(851,80)
10.4470 	EXP 	instruction_text: autoDraw = False
10.4470 	EXP 	text_2: autoDraw = False
10.4470 	EXP 	text: autoDraw = True
10.5116 	DATA 	Mouse:  Left button up, pos=(851,80)
11.6669 	DATA 	Mouse: Left button down, pos=(1031,481)
11.7524 	EXP 	Imported flow\loop_conditions.xlsx as conditions, 6 conditions, 2 params
11.7527 	EXP 	Created sequence: sequential, trialTypes=6, nReps=1, seed=None
11.7529 	EXP 	New trial (rep=0, index=0): OrderedDict([('this_trial', 1), ('tangram_set', 1)])
11.7546 	DATA 	Mouse:  Left button up, pos=(1031,481)
12.2489 	EXP 	text: autoDraw = False
12.2489 	EXP 	one: autoDraw = True
12.2489 	EXP 	two: autoDraw = True
12.2489 	EXP 	three: autoDraw = True
12.2489 	EXP 	seven: autoDraw = True
12.2489 	EXP 	eight: autoDraw = True
12.2489 	EXP 	nine: autoDraw = True
12.2489 	EXP 	four: autoDraw = True
12.2489 	EXP 	five: autoDraw = True
12.2489 	EXP 	six: autoDraw = True
12.2489 	EXP 	ten: autoDraw = True
12.2489 	EXP 	eleven: autoDraw = True
12.2489 	EXP 	twelve: autoDraw = True
12.4659 	DATA 	Mouse: Left button down, pos=(958,533)
12.4661 	DATA 	Mouse:  Left button up, pos=(958,533)
12.4761 	EXP 	gram01: autoDraw = True
12.4761 	EXP 	gram02: autoDraw = True
12.4761 	EXP 	gram03: autoDraw = True
12.4761 	EXP 	gram04: autoDraw = True
12.4761 	EXP 	gram05: autoDraw = True
12.4761 	EXP 	gram06: autoDraw = True
12.4761 	EXP 	gram07: autoDraw = True
12.4761 	EXP 	gram08: autoDraw = True
12.4761 	EXP 	gram09: autoDraw = True
12.4761 	EXP 	gram10: autoDraw = True
12.4761 	EXP 	gram11: autoDraw = True
12.4761 	EXP 	gram12: autoDraw = True
12.4761 	EXP 	easy_succ: autoDraw = True
13.2419 	DATA 	Mouse: Left button down, pos=(549,536)
13.3148 	EXP 	New trial (rep=0, index=1): OrderedDict([('this_trial', 2), ('tangram_set', 1)])
13.3282 	EXP 	one: autoDraw = False
13.3282 	EXP 	two: autoDraw = False
13.3282 	EXP 	three: autoDraw = False
13.3282 	EXP 	seven: autoDraw = False
13.3282 	EXP 	eight: autoDraw = False
13.3282 	EXP 	nine: autoDraw = False
13.3282 	EXP 	four: autoDraw = False
13.3282 	EXP 	five: autoDraw = False
13.3282 	EXP 	six: autoDraw = False
13.3282 	EXP 	ten: autoDraw = False
13.3282 	EXP 	eleven: autoDraw = False
13.3282 	EXP 	twelve: autoDraw = False
13.3282 	EXP 	gram01: autoDraw = False
13.3282 	EXP 	gram02: autoDraw = False
13.3282 	EXP 	gram03: autoDraw = False
13.3282 	EXP 	gram04: autoDraw = False
13.3282 	EXP 	gram05: autoDraw = False
13.3282 	EXP 	gram06: autoDraw = False
13.3282 	EXP 	gram07: autoDraw = False
13.3282 	EXP 	gram08: autoDraw = False
13.3282 	EXP 	gram09: autoDraw = False
13.3282 	EXP 	gram10: autoDraw = False
13.3282 	EXP 	gram11: autoDraw = False
13.3282 	EXP 	gram12: autoDraw = False
13.3282 	EXP 	easy_succ: autoDraw = False
13.3282 	EXP 	one: autoDraw = True
13.3282 	EXP 	two: autoDraw = True
13.3282 	EXP 	three: autoDraw = True
13.3282 	EXP 	seven: autoDraw = True
13.3282 	EXP 	eight: autoDraw = True
13.3282 	EXP 	nine: autoDraw = True
13.3282 	EXP 	four: autoDraw = True
13.3282 	EXP 	five: autoDraw = True
13.3282 	EXP 	six: autoDraw = True
13.3282 	EXP 	ten: autoDraw = True
13.3282 	EXP 	eleven: autoDraw = True
13.3282 	EXP 	twelve: autoDraw = True
13.3333 	DATA 	Mouse:  Left button up, pos=(549,536)
13.3461 	EXP 	gram01: autoDraw = True
13.3461 	EXP 	gram02: autoDraw = True
13.3461 	EXP 	gram03: autoDraw = True
13.3461 	EXP 	gram04: autoDraw = True
13.3461 	EXP 	gram05: autoDraw = True
13.3461 	EXP 	gram06: autoDraw = True
13.3461 	EXP 	gram07: autoDraw = True
13.3461 	EXP 	gram08: autoDraw = True
13.3461 	EXP 	gram09: autoDraw = True
13.3461 	EXP 	gram10: autoDraw = True
13.3461 	EXP 	gram11: autoDraw = True
13.3461 	EXP 	gram12: autoDraw = True
13.3461 	EXP 	easy_succ: autoDraw = True
13.7498 	DATA 	Mouse: Left button down, pos=(549,536)
13.7880 	EXP 	New trial (rep=0, index=2): OrderedDict([('this_trial', 3), ('tangram_set', 1)])
13.8053 	EXP 	one: autoDraw = False
13.8053 	EXP 	two: autoDraw = False
13.8053 	EXP 	three: autoDraw = False
13.8053 	EXP 	seven: autoDraw = False
13.8053 	EXP 	eight: autoDraw = False
13.8053 	EXP 	nine: autoDraw = False
13.8053 	EXP 	four: autoDraw = False
13.8053 	EXP 	five: autoDraw = False
13.8053 	EXP 	six: autoDraw = False
13.8053 	EXP 	ten: autoDraw = False
13.8053 	EXP 	eleven: autoDraw = False
13.8053 	EXP 	twelve: autoDraw = False
13.8053 	EXP 	gram01: autoDraw = False
13.8053 	EXP 	gram02: autoDraw = False
13.8053 	EXP 	gram03: autoDraw = False
13.8053 	EXP 	gram04: autoDraw = False
13.8053 	EXP 	gram05: autoDraw = False
13.8053 	EXP 	gram06: autoDraw = False
13.8053 	EXP 	gram07: autoDraw = False
13.8053 	EXP 	gram08: autoDraw = False
13.8053 	EXP 	gram09: autoDraw = False
13.8053 	EXP 	gram10: autoDraw = False
13.8053 	EXP 	gram11: autoDraw = False
13.8053 	EXP 	gram12: autoDraw = False
13.8053 	EXP 	easy_succ: autoDraw = False
13.8053 	EXP 	one: autoDraw = True
13.8053 	EXP 	two: autoDraw = True
13.8053 	EXP 	three: autoDraw = True
13.8053 	EXP 	seven: autoDraw = True
13.8053 	EXP 	eight: autoDraw = True
13.8053 	EXP 	nine: autoDraw = True
13.8053 	EXP 	four: autoDraw = True
13.8053 	EXP 	five: autoDraw = True
13.8053 	EXP 	six: autoDraw = True
13.8053 	EXP 	ten: autoDraw = True
13.8053 	EXP 	eleven: autoDraw = True
13.8053 	EXP 	twelve: autoDraw = True
13.8299 	EXP 	gram01: autoDraw = True
13.8299 	EXP 	gram02: autoDraw = True
13.8299 	EXP 	gram03: autoDraw = True
13.8299 	EXP 	gram04: autoDraw = True
13.8299 	EXP 	gram05: autoDraw = True
13.8299 	EXP 	gram06: autoDraw = True
13.8299 	EXP 	gram07: autoDraw = True
13.8299 	EXP 	gram08: autoDraw = True
13.8299 	EXP 	gram09: autoDraw = True
13.8299 	EXP 	gram10: autoDraw = True
13.8299 	EXP 	gram11: autoDraw = True
13.8299 	EXP 	gram12: autoDraw = True
13.8299 	EXP 	easy_succ: autoDraw = True
13.8338 	DATA 	Mouse:  Left button up, pos=(549,536)
14.1891 	DATA 	Mouse: Left button down, pos=(549,536)
14.2386 	EXP 	New trial (rep=0, index=3): OrderedDict([('this_trial', 4), ('tangram_set', 2)])
14.2563 	EXP 	one: autoDraw = False
14.2563 	EXP 	two: autoDraw = False
14.2563 	EXP 	three: autoDraw = False
14.2563 	EXP 	seven: autoDraw = False
14.2563 	EXP 	eight: autoDraw = False
14.2563 	EXP 	nine: autoDraw = False
14.2563 	EXP 	four: autoDraw = False
14.2563 	EXP 	five: autoDraw = False
14.2563 	EXP 	six: autoDraw = False
14.2563 	EXP 	ten: autoDraw = False
14.2563 	EXP 	eleven: autoDraw = False
14.2563 	EXP 	twelve: autoDraw = False
14.2563 	EXP 	gram01: autoDraw = False
14.2563 	EXP 	gram02: autoDraw = False
14.2563 	EXP 	gram03: autoDraw = False
14.2563 	EXP 	gram04: autoDraw = False
14.2563 	EXP 	gram05: autoDraw = False
14.2563 	EXP 	gram06: autoDraw = False
14.2563 	EXP 	gram07: autoDraw = False
14.2563 	EXP 	gram08: autoDraw = False
14.2563 	EXP 	gram09: autoDraw = False
14.2563 	EXP 	gram10: autoDraw = False
14.2563 	EXP 	gram11: autoDraw = False
14.2563 	EXP 	gram12: autoDraw = False
14.2563 	EXP 	easy_succ: autoDraw = False
14.2563 	EXP 	one: autoDraw = True
14.2563 	EXP 	two: autoDraw = True
14.2563 	EXP 	three: autoDraw = True
14.2563 	EXP 	seven: autoDraw = True
14.2563 	EXP 	eight: autoDraw = True
14.2563 	EXP 	nine: autoDraw = True
14.2563 	EXP 	four: autoDraw = True
14.2563 	EXP 	five: autoDraw = True
14.2563 	EXP 	six: autoDraw = True
14.2563 	EXP 	ten: autoDraw = True
14.2563 	EXP 	eleven: autoDraw = True
14.2563 	EXP 	twelve: autoDraw = True
14.2676 	DATA 	Mouse:  Left button up, pos=(549,536)
14.2754 	EXP 	gram01: autoDraw = True
14.2754 	EXP 	gram02: autoDraw = True
14.2754 	EXP 	gram03: autoDraw = True
14.2754 	EXP 	gram04: autoDraw = True
14.2754 	EXP 	gram05: autoDraw = True
14.2754 	EXP 	gram06: autoDraw = True
14.2754 	EXP 	gram07: autoDraw = True
14.2754 	EXP 	gram08: autoDraw = True
14.2754 	EXP 	gram09: autoDraw = True
14.2754 	EXP 	gram10: autoDraw = True
14.2754 	EXP 	gram11: autoDraw = True
14.2754 	EXP 	gram12: autoDraw = True
14.2754 	EXP 	easy_succ: autoDraw = True
14.9732 	DATA 	Mouse: Left button down, pos=(549,536)
15.0324 	EXP 	New trial (rep=0, index=4): OrderedDict([('this_trial', 5), ('tangram_set', 2)])
15.0494 	EXP 	one: autoDraw = False
15.0494 	EXP 	two: autoDraw = False
15.0494 	EXP 	three: autoDraw = False
15.0494 	EXP 	seven: autoDraw = False
15.0494 	EXP 	eight: autoDraw = False
15.0494 	EXP 	nine: autoDraw = False
15.0494 	EXP 	four: autoDraw = False
15.0494 	EXP 	five: autoDraw = False
15.0494 	EXP 	six: autoDraw = False
15.0494 	EXP 	ten: autoDraw = False
15.0494 	EXP 	eleven: autoDraw = False
15.0494 	EXP 	twelve: autoDraw = False
15.0494 	EXP 	gram01: autoDraw = False
15.0494 	EXP 	gram02: autoDraw = False
15.0494 	EXP 	gram03: autoDraw = False
15.0494 	EXP 	gram04: autoDraw = False
15.0494 	EXP 	gram05: autoDraw = False
15.0494 	EXP 	gram06: autoDraw = False
15.0494 	EXP 	gram07: autoDraw = False
15.0494 	EXP 	gram08: autoDraw = False
15.0494 	EXP 	gram09: autoDraw = False
15.0494 	EXP 	gram10: autoDraw = False
15.0494 	EXP 	gram11: autoDraw = False
15.0494 	EXP 	gram12: autoDraw = False
15.0494 	EXP 	easy_succ: autoDraw = False
15.0494 	EXP 	one: autoDraw = True
15.0494 	EXP 	two: autoDraw = True
15.0494 	EXP 	three: autoDraw = True
15.0494 	EXP 	seven: autoDraw = True
15.0494 	EXP 	eight: autoDraw = True
15.0494 	EXP 	nine: autoDraw = True
15.0494 	EXP 	four: autoDraw = True
15.0494 	EXP 	five: autoDraw = True
15.0494 	EXP 	six: autoDraw = True
15.0494 	EXP 	ten: autoDraw = True
15.0494 	EXP 	eleven: autoDraw = True
15.0494 	EXP 	twelve: autoDraw = True
15.0586 	DATA 	Mouse:  Left button up, pos=(549,536)
15.0685 	EXP 	gram01: autoDraw = True
15.0685 	EXP 	gram02: autoDraw = True
15.0685 	EXP 	gram03: autoDraw = True
15.0685 	EXP 	gram04: autoDraw = True
15.0685 	EXP 	gram05: autoDraw = True
15.0685 	EXP 	gram06: autoDraw = True
15.0685 	EXP 	gram07: autoDraw = True
15.0685 	EXP 	gram08: autoDraw = True
15.0685 	EXP 	gram09: autoDraw = True
15.0685 	EXP 	gram10: autoDraw = True
15.0685 	EXP 	gram11: autoDraw = True
15.0685 	EXP 	gram12: autoDraw = True
15.0685 	EXP 	easy_succ: autoDraw = True
15.3910 	DATA 	Mouse: Left button down, pos=(549,536)
15.4241 	EXP 	New trial (rep=0, index=5): OrderedDict([('this_trial', 6), ('tangram_set', 2)])
15.4357 	EXP 	one: autoDraw = False
15.4357 	EXP 	two: autoDraw = False
15.4357 	EXP 	three: autoDraw = False
15.4357 	EXP 	seven: autoDraw = False
15.4357 	EXP 	eight: autoDraw = False
15.4357 	EXP 	nine: autoDraw = False
15.4357 	EXP 	four: autoDraw = False
15.4357 	EXP 	five: autoDraw = False
15.4357 	EXP 	six: autoDraw = False
15.4357 	EXP 	ten: autoDraw = False
15.4357 	EXP 	eleven: autoDraw = False
15.4357 	EXP 	twelve: autoDraw = False
15.4357 	EXP 	gram01: autoDraw = False
15.4357 	EXP 	gram02: autoDraw = False
15.4357 	EXP 	gram03: autoDraw = False
15.4357 	EXP 	gram04: autoDraw = False
15.4357 	EXP 	gram05: autoDraw = False
15.4357 	EXP 	gram06: autoDraw = False
15.4357 	EXP 	gram07: autoDraw = False
15.4357 	EXP 	gram08: autoDraw = False
15.4357 	EXP 	gram09: autoDraw = False
15.4357 	EXP 	gram10: autoDraw = False
15.4357 	EXP 	gram11: autoDraw = False
15.4357 	EXP 	gram12: autoDraw = False
15.4357 	EXP 	easy_succ: autoDraw = False
15.4357 	EXP 	one: autoDraw = True
15.4357 	EXP 	two: autoDraw = True
15.4357 	EXP 	three: autoDraw = True
15.4357 	EXP 	seven: autoDraw = True
15.4357 	EXP 	eight: autoDraw = True
15.4357 	EXP 	nine: autoDraw = True
15.4357 	EXP 	four: autoDraw = True
15.4357 	EXP 	five: autoDraw = True
15.4357 	EXP 	six: autoDraw = True
15.4357 	EXP 	ten: autoDraw = True
15.4357 	EXP 	eleven: autoDraw = True
15.4357 	EXP 	twelve: autoDraw = True
15.4488 	EXP 	gram01: autoDraw = True
15.4488 	EXP 	gram02: autoDraw = True
15.4488 	EXP 	gram03: autoDraw = True
15.4488 	EXP 	gram04: autoDraw = True
15.4488 	EXP 	gram05: autoDraw = True
15.4488 	EXP 	gram06: autoDraw = True
15.4488 	EXP 	gram07: autoDraw = True
15.4488 	EXP 	gram08: autoDraw = True
15.4488 	EXP 	gram09: autoDraw = True
15.4488 	EXP 	gram10: autoDraw = True
